fold,train_dice,val_dice,test_dice
0,0.8004916666666665,0.7395694444444444,0.718935
1,0.8060402777777776,0.7390472222222223,0.72743
2,0.8296798611111112,0.7228166666666667,0.713995
3,0.8056972222222223,0.7949944444444444,0.67084
4,0.7592354166666667,0.807563888888889,0.6996450000000001
