split,index,dice_score
train_fold2,0,0.8881
train_fold2,1,0.9367
train_fold2,2,0.7677
train_fold2,3,0.0
train_fold2,4,0.9532
train_fold2,5,0.9113
train_fold2,6,0.9156
train_fold2,7,0.922
train_fold2,8,0.4762
train_fold2,9,0.8429
train_fold2,10,0.8869
train_fold2,11,0.9404
train_fold2,12,0.973
train_fold2,13,0.733
train_fold2,14,0.4384
train_fold2,15,0.9612
train_fold2,16,0.8879
train_fold2,17,0.8189
train_fold2,18,0.9185
train_fold2,19,0.9291
train_fold2,20,0.8904
train_fold2,21,0.9143
train_fold2,22,0.92
train_fold2,23,0.8221
train_fold2,24,0.8869
train_fold2,25,0.8488
train_fold2,26,0.7711
train_fold2,27,0.9504
train_fold2,28,0.7618
train_fold2,29,0.8496
train_fold2,30,0.8696
train_fold2,31,0.8994
train_fold2,32,0.6672
train_fold2,33,0.8534
train_fold2,34,0.9234
train_fold2,35,0.9526
train_fold2,36,0.9153
train_fold2,37,0.9536
train_fold2,38,0.0
train_fold2,39,0.9143
train_fold2,40,0.9378
train_fold2,41,0.8946
train_fold2,42,0.8998
train_fold2,43,0.9131
train_fold2,44,0.8942
train_fold2,45,0.8918
train_fold2,46,0.9494
train_fold2,47,0.9498
train_fold2,48,0.9318
train_fold2,49,0.9386
train_fold2,50,0.8928
train_fold2,51,0.9271
train_fold2,52,0.919
train_fold2,53,0.9336
train_fold2,54,0.8889
train_fold2,55,0.9649
train_fold2,56,0.9078
train_fold2,57,0.6975
train_fold2,58,0.9608
train_fold2,59,0.0
train_fold2,60,0.9472
train_fold2,61,0.7923
train_fold2,62,0.9262
train_fold2,63,0.4891
train_fold2,64,0.9337
train_fold2,65,0.8321
train_fold2,66,0.9351
train_fold2,67,0.8736
train_fold2,68,0.9182
train_fold2,69,0.803
train_fold2,70,0.9412
train_fold2,71,0.9387
train_fold2,72,0.3637
train_fold2,73,0.8877
train_fold2,74,0.9302
train_fold2,75,0.5517
train_fold2,76,0.769
train_fold2,77,0.9727
train_fold2,78,0.9105
train_fold2,79,0.8989
train_fold2,80,0.7664
train_fold2,81,0.9308
train_fold2,82,0.9248
train_fold2,83,0.9321
train_fold2,84,0.4649
train_fold2,85,0.6621
train_fold2,86,0.7743
train_fold2,87,0.9371
train_fold2,88,0.9656
train_fold2,89,0.8978
train_fold2,90,0.9557
train_fold2,91,0.9665
train_fold2,92,0.8796
train_fold2,93,0.9039
train_fold2,94,0.841
train_fold2,95,0.9452
train_fold2,96,0.9189
train_fold2,97,0.637
train_fold2,98,0.9048
train_fold2,99,0.8881
train_fold2,100,0.9666
train_fold2,101,0.9536
train_fold2,102,0.9158
train_fold2,103,0.9542
train_fold2,104,0.5519
train_fold2,105,0.8787
train_fold2,106,0.9307
train_fold2,107,0.9401
train_fold2,108,0.911
train_fold2,109,0.942
train_fold2,110,0.9323
train_fold2,111,0.9595
train_fold2,112,0.2656
train_fold2,113,0.8261
train_fold2,114,0.9315
train_fold2,115,0.8933
train_fold2,116,0.0317
train_fold2,117,0.96
train_fold2,118,0.9136
train_fold2,119,0.8721
train_fold2,120,0.8696
train_fold2,121,0.8942
train_fold2,122,0.9042
train_fold2,123,0.9476
train_fold2,124,0.736
train_fold2,125,0.0
train_fold2,126,0.8595
train_fold2,127,0.8327
train_fold2,128,0.9123
train_fold2,129,0.8701
train_fold2,130,0.9333
train_fold2,131,0.9432
train_fold2,132,0.9556
train_fold2,133,0.9313
train_fold2,134,0.9827
train_fold2,135,0.8944
train_fold2,136,0.8445
train_fold2,137,0.0
train_fold2,138,0.8178
train_fold2,139,0.935
train_fold2,140,0.953
train_fold2,141,0.2888
train_fold2,142,0.0
train_fold2,143,0.9008
